Nhãn,Name,Numbers of Comment,Features,Rating,Numbers of Rating,Price,Loại card đồ họa,Loại CPU,Dung lượng RAM,Loại RAM,Số khe ram,Ổ cứng,Chất liệu,Bảo mật,Màn hình cảm ứng,Chất liệu tấm nền,Kích thước màn hình,Độ phân giải màn hình,Công nghệ màn hình,Webcam,Khe đọc thẻ nhớ,Hệ điều hành,Wi-Fi,Bluetooth,Công nghệ âm thanh,Tính năng đặc biệt,Pin,Kích thước,Trọng lượng,Cổng giao tiếp,Tần số quét,Loại đèn bàn phím,Hãng sản xuất,Unnamed: 34,Unnamed: 5,Loại màn hình,Unnamed: 31,Socket,Độ phân giải
Van phong,Laptop Asus Vivobook Pro M3401QA KM006W,65,"Chip AMD Ryzen 5 - 5600H cùng card AMD Radeon Graphics chạy mượt mà các tác vụ văn phòng, game nhẹ hay chỉnh sửa ảnh cơ bản trên PTS.
Ram 8GB, ổ cứng SSD 512GB mang đến tốc độ xử lý nhanh cùng đa nhiệm mượt mà, mở nhiều trang cùng lúc không bị giật, lag.
Độ phân giải cao 2K (Quad HD), màn hình 14.0 inch mang lại chất lượng hiển thị sắc nét, sống động.
Tích hợp web cam 720p cho phép đàm thoại thông qua video thoải mái.
Năng lượng bất tận cả ngày với viên pin 3-cell Li-ion, 63 Wh.
Thiết kế mỏng nhẹ, sang trọng thuận tiện di chuyển, mang theo - Nặng 1.4 kg
Máy đi kèm Windows 11 bản quyền.
",4.0/5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop Dell Latitude 7400,0,"Màn hình cảm ứng 14 inch Full HD cho hình ảnh sắc nét, chân thực
Chip Intel Core i5-8365U tiết kiệm điện
RAM tối đa 8GB cho phép mở nhiều tab duyệt web mà không lo lag, giật
256 GB M.2 NVMe PCIe giúp tăng khả năng lưu trữ dễ dàng quản lý cho công việc
Đa dạng cổng kết nối, đảm bảo quá trình làm việc không bị ngắt quảng
",,,Giá Liên Hệ,Intel UHD Graphics 620,"Intel Core i5-8365U Quad-Core (1.6 GHz - 4.1 GHz, 6 MB)",8GB,DDR4 (Có thể tháo ra và nâng cấp lên tối đa 32 GB),2 khe,256 GB M.2 NVMe PCIe,,,Có,,14 inches,1920 x 1080 pixels (FullHD),,,Có,Windows 10 Pro,Wi-Fi 5 (802.11ac),Bluetooth 5.0,,"Ổ cứng SSD, Màn hình cảm ứng",4-Cell: 60 Wh,322.58 x 213.36 x 20.32 mm,1.36 kg,"2x USB-A 3.0 / 3.1/3.2 Gen 1
1x Thunderbolt 3 (DisplayPort và Sạc)
1x HDMI 1.4
1x 1/8"" / 3.5 mm Headphone/Microphone Input/Output
1x SD",,,,,,,,,
Sinh vien,Laptop LG GRAM 2023 16Z90RS-G.AH54A5,0,"Chip i5-1340P kết hợp cùng Intel Iris Xe Graphics đem lại nhiều tiện ích trong việc giải quyết công việc văn phòng cũng như chỉnh sửa nhẹ hình ảnh
Màn hình 16 inch kết hợp cùng độ phủ màu DCI-P3 100% và công nghệ chống chói giúp bạn trải nghiệm được hình ảnh sống động nhưng vẫn bảo vệ được đôi mắt
RAM 16GB cùng ổ cứng SSD 512GB giúp bạn tự tin lưu trữ dữ liệu mà không sợ hết
Thiết kế laptop mỏng nhẹ, trọng lượng chỉ 1.25kg , rất dễ dàng để bạn mang theo bên người mà không lo nặng vai
",,,39.990.000 đ,Intel Iris Xe Graphics,"Intel Core i5-1340P 1.9 GHz (up to 4.6 GHz, 12MB Cache, 12 lõi/luồng)",16GB,LPDDR5 6000MHz,1 thanh RAM 16GB,512GB SSD NVMe Gen 4 (1 khe cắm SSD M.2 trống),,,Có,Tấm nền Oled,16 inches,3200 x 2000 pixel (WQHD+),"Màn hình chống chói
Độ sáng 400nits
Độ phủ màu DCI-P3 100%
Thời gian phản hồi 0.2ms",Webcam IR FHD IR có nhận diện khuôn mặt,Có,Windows 11 Home,Intel Wireless-AX211,BT 5.1,Âm thanh HD cùng với Dolby Atmos,"Ổ cứng SSD, Wi-Fi 6",80 Wh Li-Ion,31.4 x 21.95 x 1.68 cm (Dài x Rộng x Cao),1.25kg,"2x USB 4 Gen3x2 Type C
USB Type A",120Hz,,,,,,,,
Sinh vien,Laptop MSI Modern 14 C7M-212VN,17,"CPU R5-7530U hỗ trợ tối đa trong các tác vụ văn phòng cũng như chỉnh sửa ảnh nhẹ
Màn hình 14 inch cùng viền mỏng sẽ đem lại sự ấn tượng trong lúc xem hình ảnh, video
RAM 16GB hỗ trợ tốt trong việc mở nhiều tab mà không lo lag máy
Ổ cứng SSD 512GB cho phép lưu trữ nhiều thông tin, dữ liệu trên máy tính
Thiết kế màu đen tinh tế, sang trọng, trọng lượng nhẹ chỉ 1.4kg, dễ dàng mang theo bên mình
",,,12.190.000 đ,,"AMD Ryzen 5-7530U (up to 4.5 GHz, 6 lõi / 12 luồng, 16 MB)",16GB,,1 thanh RAM,512GB NVMe PCIe Gen 3x4 SSD,,,Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),Độ phủ màu 45% NTSC và 65% sRGB,HD 720p 30fps,,Windows 11 Home,Wifi 6,Bluetooth 5.2,,"Ổ cứng SSD, Wi-Fi 6",39Wh 3 Cell,319.9 x 223 x 19.35 mm,1.4 kg,"1 x Type-C USB3.2 Gen2
1 x Type-A USB3.2 Gen2
2 x Type-A USB2.0
1 x HDMI
1 x Jack cắm tai nghe
1 x MicroSD Reader",60 Hz,Đèn bàn phím trắng,,,,,,,
Van phong,Laptop Vaio FE 14 VWNC71429-BK,0,"Sở hữu thiết kế lịch lãm với màu đen sang trọng
Màn hình 14.1 inch Full HD cùng tấm nền IPS hỗ trợ hình ảnh sắc nét, mãn nhãn
CPU Intel Core i7-1255U mạnh mẽ, giúp giải quyết nhanh chóng mọi tác vụ từ nặng đến nhẹ
RAM 16GB giúp mở hàng chục tab Chrome cùng lúc mà không lo lag, giật
Ổ cứng với khoang lưu trữ rộng rãi lên đến 1TB SSD giúp lưu mọi file, hình ảnh cùng lúc
",,,Giá Liên Hệ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop Dell Inspiron 7425,1,"Sở hữu CPU MD Ryzen 5-5625U giúp bạn giải quyết ổn thỏa các tác vụ văn phòng
Màn hình 14 inch cùng độ phân giải Full HD cho phép hiển thị hình ảnh đặc sắc, chân thật
Ổ cứng SSD 512GB cùng RAM 8GB cho bạn thỏa thích mở nhiều tab cùng khởi động nhanh máy tính, ứng dụng
Màn hình gập kèm tính năng cảm ứng giúp bạn dễ dàng sử dụng, dễ dàng xem những bộ phim mình yêu thích


",,,Giá Liên Hệ,,"AMD Ryzen 5-5625U (2.30GHz up to 4.30GHz, 16MB Cache)",8GB,DDR4 3200MHz,1 thanh RAM 8GB,512GB M.2 PCIe NVMe SSD,,Bảo mật vân tay,Có,Tấm nền IPS,14 inches,1920 x 1200 pixels (FullHD+),"Độ phủ màu 65,5%sRGB",Full HD 30 FPS,,Windows 11 Home bản quyền,Wi-Fi 6,Bluetooth 5.2,,"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",54WHr 4-Cell,,1.6 kg,"1 x USB Type A
2 x USB Type C display-port
1 x HDMI
1 x Jack cắm tai nghe 3.5mm
1 x Đầu đọc thẻ SD",60Hz,,Dell,,,,,,
Sinh vien,Laptop Dell Latitude 5520,0,"Sở hữu màu xám phù hợp với tất cả mọi lứa tuổi kèm theo trọng lượng nhẹ chỉ 1.59kg
Trang bị con chip i5 thế hệ 11 cho bạn khả năng xử lý tốt các tác vụ văn phòng
RAM 8GB cùng SSD 256GB cho bạn mượt mà mở các tác vụ kèm theo khởi động nhanh ứng dụng
Màn hình 14 inch Full HD xuất ra hình ảnh chân thật, sắc nét, đem lại trải nghiệm tuyệt vời cho bạn
",,,Giá Liên Hệ,,"Intel Core i5 - 1145G7 (upto 4.40GHz, 4 nhân/ 8 luồng, 8MB Cache)",8GB,DDR4 3200MHz,1 Thanh RAM,256GB M.2 PCIe NVMe,,,Không,,15.6 inches,1920 x 1080 pixels (FullHD),"Chống chói
Độ sáng tối đa 250 Nits","720p at 30 fps
Camera HD RGB với màn hình rộng
Micrô mảng kép",Có,,Wi-Fi 6,Bluetooth 5.1,2 Loa,"Ổ cứng SSD, Wi-Fi 6",63Whr 4 cell,19.87 x 357.8 x 233.3 mm,1.59 kg,"2 x USB 3.2 Gen 1
2 x Thunderbolt 4
1 x HDMI/VGA
1 x HDMI
1 x Cổng âm thanh đa năng
1 x Thẻ SD",,Đèn bàn phím đơn sắc,Dell,,,,Intel Iris Xe,,
Gaming,Laptop Gigabyte G5 GE-51VN263SH,22,"Màn hình 15.6 inch Full HD 144Hz cho hình ảnh sắc nét, loại bỏ hiện tượng giật, xé hình
CPU Intel Core i512500H đáp ứng tốt nhu cầu làm việc, học tập và giải trí
Card đồ họa NVIDIA GeForce RTX 3050 4GB cân mọi tựa game cho chất lượng hình ảnh vượt trội, thiết kế, sáng tạo dễ dàng
Ram 8GB DDR4 và ổ cứng 512GB SSD giúo khởi động, chạy ứng dụng nhanh chóng
Bàn phím 15 màu giúp game thủ thể hiện cá tính của mình
Đa dạng cổng kết nối hỗ trợ kết nối cùng lúc 3 màn hình mở rộng
",,,18.990.000 đ,,Intel Core i5-12500H 2.5GHz up to 4.5GHz 18MB,8GB,DDR4 3200MHz,2 khe SO-DIMM (Nâng cấp tối đa 64GB SDRAM),512GB SSD M.2 PCIE G4x4 (Còn trống 1 khe SSD M.2 PCIE G3x4),,,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),Tần số quét 144Hz,1.0M HD video camera,Có,Windows 11 Home,Intel Wi-Fi 6,Bluetooth 5.2,"2x 2W Speaker
Công nghệ âm thanh DTS:X Ultra","Ổ cứng SSD, Wi-Fi 6",4 Cell 54 WHrs,360 x 238 x 22.7 mm,1.9 kg,"2x USB 3.2 Gen 2 (Type C)
1x USB 3.2 Gen 1 (Type A)
1x USB 2.0 (Type A)
1x Mini DP 1.4
1x HDMI 2.1 (HDCP)
1x 2-in-1 Audio (Headphone / Microphone)
1x Microphone
1x RJ-45 LAN
1x DC-in",,15 màu đèn,,,"NVIDIA GeForce RTX 3050 4GB GDDR6 1500 MHz, công suất đồ họa tối đa 75 W",,,,
Sinh vien,Laptop Surface Pro 9 i7 16GB 256GB,1,"Sở hữu thiết kế vô cùng mỏng nhẹ với trọng lượng chỉ 879g dễ dàng mang theo đi bất cứ đâu để làm việc
CPU Intel Core i7-1255U cân mọi tác vụ văn phòng từ nặng tới nhẹ
RAM lên đến 16GB đa nhiệm không lo các trình duyệt hay tab công việc bị load lại
Ổ cứng 256GB có thể tháo ra lắp thanh khác cực tiện lợi khi nâng cấp
Màn hình cảm ứng 13 inch cực mướt hỗ trợ thao tác vuốt chạm dễ dàng
",,,40.990.000 đ,,"Intel Core i7-1255U (10 lõi / 12 luồng, 3.50 GHz, Turbo Boost 4.70 GHz, 12 MB)",16GB,LPDDR5x 6400MHz,Hỗ trợ nâng cấp tối đa 32GB,256GB (Có thể nâng cấp),Vỏ kim loại,,Có,,13 inches,2880 x 1920 pixels,"Dolby Vision IQ
Gorilla Glass 5","Camera trước 1080p
Camera sau 10.0MP hỗ trợ quay video 1080p HD và 4K",Không,Windows 11 Home,Wi-Fi 6E: 802.11ax,Bluetooth Wireless 5.1,Loa kép âm thanh nổi với công nghệ Dolby Atmos,"Ổ cứng SSD, Wi-Fi 6, Màn hình cảm ứng, Nhận diện khuôn mặt",Lithium ion 47.7 Wh,287 x 209 x 9.3 mm (Dài x Rộng x Cao),879 g,"2x USB-C với USB 4.0/ Thunderbolt 4
1x Surface Connect
1x Surface Type Cover",120 Hz,,,,,,Intel Iris Xe,,
Gaming,Laptop Gaming MSI Bravo 15 B5DD 276VN,426,"Chip R5-5600H cùng card rời RX5500M cho khả năng chiến các tựa game nặng, chỉnh sửa hình ảnh trên PTS, Render 3D.
Ram 8GB + 1 khe trống cho phép nâng cấp tối đa đến 64GB.
Kích thước màn hình 15.6 inches với độ phân giải Full HD mang lại trải nghiệm tuyệt vời, hình ảnh sắc nét.
Tản nhiệt 6 ống đồng - Giúp đảm bảo hiệu năng ổn định khi chiến game
Trọng lượng 2.35kg cho cảm giác cầm chắc tay .
Máy đi kèm windows 11 bản quyền.
",5.0/5,9.0,15.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop Dell Vostro 3520 GD02R,3,"CPU Intel Core i5 1135G7 xử lý mượt mà các tác vụ như lướt web, soạn thảo săn bản, xem phim, giải trí
Bộ nhớ RAM 8 GB đáp ứng các tác vụ học tập, làm việc văn phòng
Card đồ họa Iris Xe Graphics dễ dàng sử dụng đồ họa ở mức cơ bản, chẳng hạn như xem video, xem phim hoặc chỉnh sửa hình ảnh đơn giản
Ổ cứng SSD 512 GB rộng rãi, thoải mái lưu trữ tài liệu học tập, phim ảnh
Màn hình lớn 15.6 inch Full HD rộng lớn và đã mắt với chất lượng hình ảnh hiển thị rõ nét, trung thực
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop HP Pavilion 15-EG2055TU 6K785PA,10,"Intel Core i7-1260P - 12 nhân 16 luồng, không ngại mọi tác vụ nặng nề
Ổ cứng SSD 512GB - Thoải mái lưu trữ, khổi động Windows nhanh hơn
8GB Ram - Đa nhiệm tốt, giúp máy hoạt động mượt mà
Webcam 720p - Cho phép trò chuyện qua video hay họp online
",,,18.490.000 đ,Intel® Iris® Xe Graphics,IIntel® Core™ i7-1260P,8GB,DDR4 3200 MHz,,512 GB PCIe® NVMe™ M.2 SSD,,,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),"Độ sáng 250 nits, hỗ trợ dải màu 45% NTSC",720P,,Windows 11 Home SL,Wi-Fi 6,v5.2,Loa kép,"Ổ cứng SSD, Wi-Fi 6","3-cell, 41 Wh Li-ion",36.02 x 23.4 x 1.79 cm,1.74 kg,"1 SuperSpeed USB Type-C
2 SuperSpeed USB Type-A
1 HDMI 2.1
1 combo mic tai nghe 3.5mm",,,,,,,,,
Gaming,Laptop Gaming Acer Nitro 5 AN515-45-R0B6 NH.QBCSV.001,62,"Chip R7-5800H cùng card rời RTX 3060 6GB cho khả năng chiến các tựa game nặng, chỉnh sửa hình ảnh trên PTS, Render video ngắn mượt mà.
Ram 8GB + 1 khe trống cho phép nâng cấp tối đa đến 32GB, ổ cứng SSD 512GB mang đến tốc độ xử lý nhanh cùng đa nhiệm mượt mà.
Màn hình Full HD kích thước chuẩn 15.6 inch, tần số quét 144Hz phù hợp cho các tựa game fps, moba.
Tích hợp HD Webcam cho phép đàm thoại thông qua video thoải mái.
Thiết kế vỏ nhựa cứng cáp, nặng 2.2 kg cho cảm giác cầm chắc tay.
Đèn bàn phím được tích hợp đèn - Thoả sức làm việc trong môi trường thiếu sáng.
Năng lượng bất tận cả ngày với viên pin 4 Cells, 57WHrs.
Máy đi kèm Windows 10 bản quyền.


",5.0/5,1.0,30.290.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop Asus Zenbook 14 Flip OLED UP5401ZA-KU140W,1,"Intel Core I7-12700H xử lý mượt mà các tác vụ văn phòng hay chỉnh sửa ảnh cơ bản trên PTS.
Ổ cứng 1TB mang đến khả năng xử lý tốt cùng tốc độ khởi động nhanh
Mọi thứ đều trở nên sống động với màn hình cảm ứng OLED 4K HDR NanoEdge.
Tích hợp webcam 720p cho phép đàm thoại thông qua video thoải mái.
Với trọng lượng chỉ 1,4 kg và kích thước mỏng 15,9 mm - Cực kỳ linh hoạt và dễ mang theo
Được trang bị nhiều cổng kết nối - đem lại sự thuận lợi cho người dùng.
Máy đi kèm Windows 11 bản quyền.
",,,34.290.000 đ,,Intel® Core™ I7-12700H,16GB,LPDDR5,,1TB M.2 NVMe™ PCIe® 4.0 SSD,,,Có,Tấm nền OLED/AMOLED,14 inches,3840 x 2400 pixel (4K),"Tần số quét 60hz
Độ sáng 550nits
HDR
1.07 tỷ màu",720p,,Windows 11,802.11ax,v5.0,,"Ổ cứng SSD, Wi-Fi 6","63WHrs, 3-cell Li-ion",31.10 x 22.30 x 1.59 ~ 1.59 cm,1.40 kg,"1x USB 3.2 Gen 2 Type-A
2x Thunderbolt™ 4 supports display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack Micro SD card reader",,,,,,,Intel Iris Xe Graphics,,
Van phong,Laptop Asus ZenBook 14 OLED UX3402VA-KM203W,3,"Sở hữu thiết kế thời thượng cực mỏng nhẹ
Bộ vi xử lý Intel Core i5 1340P cân mọi tác vụ văn phòng
Card tích hợp Intel Iris Xe Graphics hỗ trợ chỉnh sửa hình ảnh cơ bản
RAM 16 GB giúp tăng hiệu suất công việc cũng như giải trí mượt mà không bị giật hoặc treo máy
Ổ cứng SSD 512 GB cho tốc độ truy xuất nhanh, lưu trữ thoải mái
Bảo mật vân tay tích giúp bảo vệ dữ liệu cá nhân
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop HP Pavilion X360 14-EK1047TU 80R25PA,0,"CPU Intel Core i7 - 1355U mạnh mẽ, cho phép bạn hoàn thành tốt các công việc văn phòng, xem phim, giải trí
Card đồ họa tích hợp Intel Iris Xe Graphics hỗ trợ chỉnh sửa ảnh, render video ngắn,...
RAM 16 GB biến việc mở nhiều tab trở nên dễ dàng, trơn tru, hạn chế tình trạng giật lag
Ổ cứng SSD 512 GB NVMe PCIe cho không gian lưu trữ tốt để phục vụ việc lưu trữ các dữ liệu, tài liệu
Màn hình cảm ứng 14 inch Full HD cho phép thao tác vuốt, chạm, note thông tin một cách nhanh chóng
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop Dell Inspiron 3511 5829BLK,41,"Thiết kế cứng cáp, sang trọng với màn hình cảm ứng 15.6 inch Full HD
Cân mọi tác vụ học tập, văn phòng với CPU Intel Core i5-1135G7
Card Intel Iris Xe graphics hỗ trợ lướt web, xem phim hay giải trí với các tựa game nhẹ
RAM 8GB đa nhiệm cùng ổ cứng 256GB SSD ccho không gian lưu trữ đủ dùng
Webcam HD 720p giúp hình ảnh thêm sắc nét trong các buổi họp, video call, meet,...
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop Dell Latitude 7400,0,"Màn hình cảm ứng 14 inch Full HD cho hình ảnh sắc nét, chân thực
Chip Intel Core i5-8365U tiết kiệm điện
RAM tối đa 8GB cho phép mở nhiều tab duyệt web mà không lo lag, giật
256 GB M.2 NVMe PCIe giúp tăng khả năng lưu trữ dễ dàng quản lý cho công việc
Đa dạng cổng kết nối, đảm bảo quá trình làm việc không bị ngắt quảng
",,,Giá Liên Hệ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop ASUS ZenBook UM3402YA-KM074W,16,"Sở hữu thiết kế sang trọng khi khoác lên mình lớp vỏ màu đen ngọc thạch tối giản, thanh lịch được lấy cảm hứng từ vẻ đẹp của đá tự nhiên.
CPU AMD Ryzen 5 5625U kết hợp cùng card AMD Radeon mang hiệu năng cao, tiết kiệm pin vận hành các tác vụ chơi game, làm đồ họa thiết kế.
Ram 8 GB, ổ cứng 512GB SSD cho tốc độ xử lý nhanh, mở nhiều tab cùng lúc không bị giật, lag.
Màn hình cảm ứng OLED 14 inch cùng độ phân giải lên đến 2.8K mang lại hình ảnh chân thực, rõ nét, sắc màu sống động.
Bản lề gập mở 180 độ tối ưu hóa laptop thành một chiếc máy tính bảng dễ dàng chia sẻ thông tin cực tiện lợi. 
Khung máy nhỏ gọn, trọng lượng chỉ 1.39kg sẵn sàng đồng hành mọi chuyến đi.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop MSI Modern 14 C7M-083VN,3,"Thiết kế laptop mỏng nhẹ, trọng lượng chỉ 1.4kg thích hợp để cất trong balo
CPU Ryzen 5 7530U đáp ứng đầy đủ các nhu cầu cho người dùng văn phòng và học tập
Card đồ họa AMD Radeon Graphics đem lại hình ảnh sắc nét, video chân thật
RAM 8GB kết hợp cùng ở cứng 512GB cho bạn thỏa thích lưu trữ file, dữ liệu
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop MSI Modern 15 B7M-099VN,7,"Thiết kế laptop có vẻ ngoài mỏng nhẹ, sang trọng, thích hợp giúp bạn mang theo bên người
CPU R5-7530U mạnh mẽ, đáp ứng đầy đủ mọi nhu cầu về học tập cũng như văn phòng
Card đồ họa AMD Radeon Graphics giúp bạn thực hiện công việc trôi chảy cũng như thích hợp để giải trí nhẹ
Màn hình 15.6 inch cho phép bạn trải nghiệm hỉnh ảnh, video deo một cách chi tiết nhất
RAM 8GB kết hợp với ổ cứng 512 GB chắc hẳn là không gian rộng lớn giúp bạn lưu trữ được nhiều dữ liệu
",,,11.790.000 đ,,AMD Ryzen 5 7530U,8GB,DDR4-3200 Onboard,,"512 GB,1x M.2 SSD slot (NVMe PCIe Gen3)",,,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),,HD type (30fps@720p),,Windows 11 Home,,,2x 2W Speaker,Ổ cứng SSD,3-Cell 39.3 / 53.8 Battery (Whr),359 x 241 x 19.9 mm (W x D x H),1.75 kg,"1x Type-C USB3.2 Gen2 (Sạc PD)
1x Type-A USB3.2 Gen2
2x Type-A USB2.0
1x Đầu đọc thẻ Micro SD
1x HDMI 2.1 (4K @ 60Hz)
1x Mic-in/Headphone-out Combo Jack",,Đèn nền trắng,,AMD Radeon Graphics,,,,,
Van phong,Laptop ASUS ZenBook UP5401ZA-KN005W,17,"Thiết kế sang trọng - Nặng chỉ 1.4kg, vỏ nhôm chắc chắn
8GB DDR5 onboard - Cân tốt các tác vụ hằng ngày như học tập, làm văn phòng
Độ phân giải 2.8K - Thoải mái giải trí hay chỉnh sửa đồ hoạ nhẹ nhàng
Màn hình được trang bị công nghệ SGS Eye Care Display - giảm ánh sáng xanh, bảo vệ mắt tốt hơn
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop LG Gram 2023 15Z90RT-G.AH55A5,0,"Chip i5-1340P kết hợp cùng đồ họa Intel Iris Xe Graphics giúp bạn giải quyết tốt các tác vụ văn phòng cũng như chỉnh sửa nhẹ hình ảnh
Màn hình 15.6 inch có độ phân giải Full HD kết hợp cùng độ phủ màu DCI-P3 100% đem trải nghiệm hình ảnh, video chân thật
RAM 16GB cùng ổ cứng SSD 512GB đem lại không gian lưu trữ dữ liệu rộng lớn
Thiết kế laptop mỏng nhẹ, trọng lượng chỉ 990g thích hợp để bạn mang theo đi học, đi làm đều được
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop Asus Vivobook Pro M3401QA KM006W,65,"Chip AMD Ryzen 5 - 5600H cùng card AMD Radeon Graphics chạy mượt mà các tác vụ văn phòng, game nhẹ hay chỉnh sửa ảnh cơ bản trên PTS.
Ram 8GB, ổ cứng SSD 512GB mang đến tốc độ xử lý nhanh cùng đa nhiệm mượt mà, mở nhiều trang cùng lúc không bị giật, lag.
Độ phân giải cao 2K (Quad HD), màn hình 14.0 inch mang lại chất lượng hiển thị sắc nét, sống động.
Tích hợp web cam 720p cho phép đàm thoại thông qua video thoải mái.
Năng lượng bất tận cả ngày với viên pin 3-cell Li-ion, 63 Wh.
Thiết kế mỏng nhẹ, sang trọng thuận tiện di chuyển, mang theo - Nặng 1.4 kg
Máy đi kèm Windows 11 bản quyền.
",4.0/5,1.0,15.990.000 đ,AMD Radeon Graphics,AMD Ryzen 5 - 5600H,8GB,"DDR4 3200 MHz, Không hỗ trợ nâng cấp",,512 GB SSD NVMe PCIe,,,Không,Tấm nền OLED/AMOLED,14 inches,2880 x 1800 pixels,,HD 720p,Có,Windows 11 Home SL,802.11ax,v5.0,Audio by Harman/Kardon,"Ổ cứng SSD, Wi-Fi 6","3-cell Li-ion, 63 Wh",Dài 317.4 mm - Rộng 228.5 mm - Dày 19.3 mm,1.4 kg,"1 x USB 3.2
2 x USB 2.0
1 x HDMI
1 x Jack tai nghe 3.5 mm
1 x USB Type-C
1 x SD",,,,,,,,,
Sinh vien,Laptop HP Envy X360 2IN1 14-ES0013,1,"Sử dụng con chip i5 Gen 13 đem lại hiệu năng mạnh mẽ cho phép xử lý tốt các tác vụ văn phòng
RAM 8 GB cùng ổ cứng SSD 512 GB đem lại không gian lưu trữ lớn nhưng mở nhiều tab vẫn mượt mà
Màn hình 14 inch Full HD cho ra hình ảnh chân thật, sắc nét
Khả năng gập 360 độ đem lại sự thuận lợi khi chia sẻ công việc với người lân cận
",,,18.990.000 đ,Intel Iris Xe,"Intel Core i5-1335U (up to 4.6 GHz, 12 Cache, 10 lõi / 12 luồng)",8GB,DDR4,1 thanh RAM 8GB,SSD 512 GB PCIe NVMe M.2,Vỏ kim loại,Firmware TPM,Có,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),"Cảm ứng đa điểm
Độ sáng tối đa 250 nits",Webcam HD với màn trập riêng tư,Có,Windows 11,Wi-Fi 6E,Bluetooth 5.3,,"Ổ cứng SSD, Wi-Fi 6",43 Wh,12.68 x 8.3 x 0.75 cm,1.49 kg,"1 x USB Type-C
2 x USB Type-A
1 x HDMI
1 x chân cắm thông minh AC
1 x Jack tai nghe
1 x Khe cắm thẻ SD",,,HP,,,,,,
Sinh vien,Laptop MSI Modern 15 B7M-099VN,7,"Thiết kế laptop có vẻ ngoài mỏng nhẹ, sang trọng, thích hợp giúp bạn mang theo bên người
CPU R5-7530U mạnh mẽ, đáp ứng đầy đủ mọi nhu cầu về học tập cũng như văn phòng
Card đồ họa AMD Radeon Graphics giúp bạn thực hiện công việc trôi chảy cũng như thích hợp để giải trí nhẹ
Màn hình 15.6 inch cho phép bạn trải nghiệm hỉnh ảnh, video deo một cách chi tiết nhất
RAM 8GB kết hợp với ổ cứng 512 GB chắc hẳn là không gian rộng lớn giúp bạn lưu trữ được nhiều dữ liệu
",,,11.790.000 đ,AMD Radeon Graphics,AMD Ryzen 5 7530U,8GB,DDR4-3200 Onboard,,"512 GB,1x M.2 SSD slot (NVMe PCIe Gen3)",,,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),,HD type (30fps@720p),,Windows 11 Home,,,2x 2W Speaker,Ổ cứng SSD,3-Cell 39.3 / 53.8 Battery (Whr),359 x 241 x 19.9 mm (W x D x H),1.75 kg,"1x Type-C USB3.2 Gen2 (Sạc PD)
1x Type-A USB3.2 Gen2
2x Type-A USB2.0
1x Đầu đọc thẻ Micro SD
1x HDMI 2.1 (4K @ 60Hz)
1x Mic-in/Headphone-out Combo Jack",,Đèn nền trắng,,,,,,,
Gaming,Laptop MSI Gaming Alpha 15 A4DEK-027VN,23,"""- Chip R7-4800H cùng card đồ họa rời RX 5600M cho khả năng chiến các tựa game nặng, chỉnh sửa hình ảnh trên PTS, Render video ngắn mượt mà
Ram 8GB có thể nâng cấp tối đa lên 64GB cùng ổ cứng SSD 512GB mang đến tốc độ xử lý nhanh cùng đa nhiệm mượt mà
Màn hình 15.6 inches 144Hz mang lại độ chân thật siêu nét, siêu mượt cùng công nghệ chống chói giúp bảo vệ mắt
Tích hợp web cam HD 720p cho phép đàm thoại thông qua video thoải mái
Hệ thống tản nhiệt Cooler Boost thế hệ thứ 5 với hai quạt song song làm mát nhanh chóng
Máy đi kèm Windows 10 Home bản quyền
""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
